分拣中心,日期,货量
SC5,2023-08-01,17298
SC5,2023-08-02,19548
SC5,2023-08-03,18118
SC5,2023-08-04,17962
SC5,2023-08-05,17867
SC5,2023-08-06,16182
SC5,2023-08-07,16484
SC5,2023-08-08,17446
SC5,2023-08-09,17748
SC5,2023-08-10,17759
SC5,2023-08-11,17849
SC5,2023-08-12,18119
SC5,2023-08-13,16540
SC5,2023-08-14,16767
SC5,2023-08-15,17445
SC5,2023-08-16,19614
SC5,2023-08-17,18330
SC5,2023-08-18,19275
SC5,2023-08-19,19138
SC5,2023-08-20,17963
SC5,2023-08-21,18664
SC5,2023-08-22,18567
SC5,2023-08-23,19045
SC5,2023-08-24,19286
SC5,2023-08-25,19789
SC5,2023-08-26,19225
SC5,2023-08-27,18764
SC5,2023-08-28,18647
SC5,2023-08-29,19618
SC5,2023-08-30,19778
SC5,2023-08-31,20612
SC5,2023-09-01,22342
SC5,2023-09-02,24677
SC5,2023-09-03,22637
SC5,2023-09-04,20304
SC5,2023-09-05,21269
SC5,2023-09-06,22981
SC5,2023-09-07,24872
SC5,2023-09-08,22191
SC5,2023-09-09,21153
SC5,2023-09-10,21752
SC5,2023-09-11,19487
SC5,2023-09-12,19730
SC5,2023-09-13,20527
SC5,2023-09-14,22477
SC5,2023-09-15,21583
SC5,2023-09-16,22184
SC5,2023-09-17,22358
SC5,2023-09-18,20383
SC5,2023-09-19,21483
SC5,2023-09-20,22780
SC5,2023-09-21,22268
SC5,2023-09-22,23123
SC5,2023-09-23,23459
SC5,2023-09-24,22960
SC5,2023-09-25,23489
SC5,2023-09-26,24048
SC5,2023-09-27,23309
SC5,2023-09-28,21342
SC5,2023-09-29,20263
SC5,2023-09-30,17579
SC5,2023-10-01,16767
SC5,2023-10-02,14078
SC5,2023-10-03,14005
SC5,2023-10-04,15505
SC5,2023-10-05,16103
SC5,2023-10-06,19434
SC5,2023-10-07,18689
SC5,2023-10-08,20085
SC5,2023-10-09,21679
SC5,2023-10-10,19752
SC5,2023-10-11,21752
SC5,2023-10-12,20327
SC5,2023-10-13,21051
SC5,2023-10-14,19679
SC5,2023-10-15,19845
SC5,2023-10-16,19368
SC5,2023-10-17,19767
SC5,2023-10-18,20685
SC5,2023-10-19,20744
SC5,2023-10-20,22284
SC5,2023-10-21,20352
SC5,2023-10-22,19810
SC5,2023-10-23,19828
SC5,2023-10-24,31484
SC5,2023-10-25,32946
SC5,2023-10-26,25888
SC5,2023-10-27,27364
SC5,2023-10-28,25401
SC5,2023-10-29,23660
SC5,2023-10-30,21896
SC5,2023-10-31,24214
SC5,2023-11-03,30675
SC5,2023-11-04,29330
SC5,2023-11-05,27827
SC5,2023-11-06,27332
SC5,2023-11-07,27097
SC5,2023-11-08,29132
SC5,2023-11-09,27967
SC5,2023-11-10,31097
SC5,2023-11-13,33405
SC5,2023-11-14,27302
SC5,2023-11-15,25701
SC5,2023-11-16,24763
SC5,2023-11-17,24825
SC5,2023-11-18,23825
SC5,2023-11-19,22541
SC5,2023-11-20,23155
SC5,2023-11-21,21485
SC5,2023-11-22,22995
SC5,2023-11-23,22077
SC5,2023-11-24,23009
SC5,2023-11-25,20778
SC5,2023-11-26,18758
SC5,2023-11-27,21558
SC5,2023-11-28,21005
SC5,2023-11-29,21384
SC5,2023-11-30,21505
SC7,2023-08-01,34322
SC7,2023-08-02,35100
SC7,2023-08-03,34377
SC7,2023-08-04,33522
SC7,2023-08-05,34450
SC7,2023-08-06,32235
SC7,2023-08-07,32229
SC7,2023-08-08,32181
SC7,2023-08-09,34860
SC7,2023-08-10,34847
SC7,2023-08-11,32799
SC7,2023-08-12,34789
SC7,2023-08-13,32211
SC7,2023-08-14,30104
SC7,2023-08-15,34267
SC7,2023-08-16,34370
SC7,2023-08-17,35057
SC7,2023-08-18,35984
SC7,2023-08-19,35327
SC7,2023-08-20,34776
SC7,2023-08-21,34600
SC7,2023-08-22,36594
SC7,2023-08-23,35092
SC7,2023-08-24,35483
SC7,2023-08-25,36283
SC7,2023-08-26,35432
SC7,2023-08-27,33509
SC7,2023-08-28,33052
SC7,2023-08-29,34712
SC7,2023-08-30,35291
SC7,2023-08-31,35850
SC7,2023-09-01,37151
SC7,2023-09-02,41393
SC7,2023-09-03,36843
SC7,2023-09-04,35100
SC7,2023-09-05,36986
SC7,2023-09-06,38076
SC7,2023-09-07,41831
SC7,2023-09-08,42452
SC7,2023-09-09,42532
SC7,2023-09-10,40328
SC7,2023-09-11,36068
SC7,2023-09-12,40436
SC7,2023-09-13,40600
SC7,2023-09-14,38119
SC7,2023-09-15,39448
SC7,2023-09-16,43230
SC7,2023-09-17,40884
SC7,2023-09-18,37538
SC7,2023-09-19,37453
SC7,2023-09-20,39662
SC7,2023-09-21,39487
SC7,2023-09-22,38524
SC7,2023-09-23,41867
SC7,2023-09-24,42083
SC7,2023-09-25,39691
SC7,2023-09-26,42006
SC7,2023-09-27,41072
SC7,2023-09-28,36234
SC7,2023-09-29,31472
SC7,2023-09-30,27875
SC7,2023-10-01,25385
SC7,2023-10-02,22565
SC7,2023-10-03,22626
SC7,2023-10-04,24280
SC7,2023-10-05,27802
SC7,2023-10-06,31089
SC7,2023-10-07,32941
SC7,2023-10-08,36952
SC7,2023-10-09,36796
SC7,2023-10-10,36450
SC7,2023-10-11,36239
SC7,2023-10-12,34963
SC7,2023-10-13,35196
SC7,2023-10-14,36110
SC7,2023-10-15,34210
SC7,2023-10-16,33472
SC7,2023-10-17,35666
SC7,2023-10-18,34836
SC7,2023-10-19,33522
SC7,2023-10-20,35741
SC7,2023-10-21,34833
SC7,2023-10-22,32418
SC7,2023-10-23,32218
SC7,2023-10-24,52815
SC7,2023-10-25,54660
SC7,2023-10-26,47711
SC7,2023-10-27,44356
SC7,2023-10-28,46556
SC7,2023-10-29,42157
SC7,2023-10-30,37342
SC7,2023-10-31,35168
SC7,2023-11-02,70641
SC7,2023-11-03,58473
SC7,2023-11-04,53482
SC7,2023-11-05,49487
SC7,2023-11-06,43625
SC7,2023-11-07,48983
SC7,2023-11-08,48074
SC7,2023-11-09,46548
SC7,2023-11-10,47703
SC7,2023-11-13,60126
SC7,2023-11-14,45602
SC7,2023-11-15,40879
SC7,2023-11-16,37827
SC7,2023-11-17,37129
SC7,2023-11-18,36207
SC7,2023-11-19,33764
SC7,2023-11-20,33775
SC7,2023-11-21,34424
SC7,2023-11-22,35351
SC7,2023-11-23,34017
SC7,2023-11-24,34246
SC7,2023-11-25,34287
SC7,2023-11-26,33061
SC7,2023-11-27,31057
SC7,2023-11-28,33390
SC7,2023-11-29,35847
SC7,2023-11-30,33676
SC57,2023-08-01,12177
SC57,2023-08-02,12052
SC57,2023-08-03,11685
SC57,2023-08-04,12215
SC57,2023-08-05,11956
SC57,2023-08-06,11663
SC57,2023-08-07,10505
SC57,2023-08-08,11164
SC57,2023-08-09,12270
SC57,2023-08-10,12336
SC57,2023-08-11,12139
SC57,2023-08-12,12076
SC57,2023-08-13,11860
SC57,2023-08-14,11122
SC57,2023-08-15,11569
SC57,2023-08-16,12554
SC57,2023-08-17,12983
SC57,2023-08-18,13166
SC57,2023-08-19,12768
SC57,2023-08-20,12313
SC57,2023-08-21,12545
SC57,2023-08-22,12974
SC57,2023-08-23,13001
SC57,2023-08-24,13304
SC57,2023-08-25,13262
SC57,2023-08-26,13273
SC57,2023-08-27,12656
SC57,2023-08-28,12841
SC57,2023-08-29,13454
SC57,2023-08-30,13725
SC57,2023-08-31,14608
SC57,2023-09-01,15078
SC57,2023-09-02,16027
SC57,2023-09-03,14785
SC57,2023-09-04,13922
SC57,2023-09-05,14231
SC57,2023-09-06,14947
SC57,2023-09-07,15912
SC57,2023-09-08,15499
SC57,2023-09-09,15121
SC57,2023-09-10,14027
SC57,2023-09-11,13479
SC57,2023-09-12,13695
SC57,2023-09-13,14724
SC57,2023-09-14,15098
SC57,2023-09-15,14481
SC57,2023-09-16,15123
SC57,2023-09-17,14767
SC57,2023-09-18,13992
SC57,2023-09-19,14868
SC57,2023-09-20,15196
SC57,2023-09-21,15959
SC57,2023-09-22,16006
SC57,2023-09-23,16892
SC57,2023-09-24,15643
SC57,2023-09-25,15832
SC57,2023-09-26,16083
SC57,2023-09-27,17407
SC57,2023-09-28,15236
SC57,2023-09-29,15518
SC57,2023-09-30,13208
SC57,2023-10-01,12561
